character_id,character_name,derived_gender,derived_gender_confidence,source_descriptor,derived_race,derived_faction,derived_base_class,derived_class_title,classification_status,classification_notes,review_needed
char_potgins,Potgins,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_puar,Puar,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_purkmistr,Purkmistr,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_qiuram,Qiuram,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_quible,Quible,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_qwestux,Qwestux,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_rabarbar,Rabarbar,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_ragnwald,Ragnwald,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_rain,Rain,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_rakot,Rakot,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_ramangth,Ramangth,unknown,,Black Númenórean Wanderer,Man,Minions of Sauron,,Wanderer,generic_title_no_class,race_term=Black Númenórean | class_title=Wanderer | base_class_unknown,no
char_rancor,Rancor,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_rankin,Rankin,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_rastik,Rastik,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_ratark,Ratark,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_rebeka,Rebeka,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_reikor,Reikor,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_remorse,Remorse,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_rendra,Rendra,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_rhombuc,Rhombuc,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_rimnark,Rimnark,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_risca,Risca,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_roadkill,Roadkill,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_rockfish,Rockfish,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_rodan,Rodan,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_rohic,Rohic,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_rohick,Rohick,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_rohik,Rohik,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_rot,Rot,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_rotmos,Rotmos,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_roxik,Roxik,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_rukan,Rukan,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_runk,Runk,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_s_in,S in,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_sabu,Sabu,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_sai,Sai,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_salas,Salas,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_scaramanga,Scaramanga,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_scythe,Scythe,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_selde,Selde,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_serion,Serion,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_shaff,Shaff,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_shaigan,Shaigan,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_shaolin,Shaolin,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_sharan,Sharan,unknown,,,,,,,no_whois_classification,No classification row found,yes
