character_id,character_name,player_main_handle,player_known_by,derived_race,derived_faction,derived_base_class,derived_gender,classification_status,has_whois_display,has_colour_whois,mention_count,group_candidate_count,classification_review_needed,page_review_needed,page_slug
char_eirin,Eirin,Ancra,Ancra [Harry],,,,,no_whois_classification,no,no,0,0,yes,yes,eirin
char_elajt,Elajt,Heldo,Heldo [Jens],,,,,no_whois_classification,no,no,0,0,yes,yes,elajt
char_elayne,Elayne,Ethar,Ethar,,,,,no_whois_classification,no,no,0,0,yes,yes,elayne
char_elemur,Elemur,Halir,Halir,,,,,no_whois_classification,no,no,0,0,yes,yes,elemur
char_elenril,Elenril,Agattax,Agattax [Robin],,,,,no_whois_classification,no,no,0,0,yes,yes,elenril
char_elenwe,Elenwe,Beorel,Beorel,,,,,no_whois_classification,no,no,0,0,yes,yes,elenwe
char_eliwe,Eliwe,Ainafea,Ainafea,,,,,no_whois_classification,no,no,0,0,yes,yes,eliwe
char_eluchil,Eluchil,Feanor,Feanor,,,,,no_whois_classification,no,no,0,0,yes,yes,eluchil
char_elumir,Elumir,Siroth,Siroth,,,,,no_whois_classification,no,no,0,0,yes,yes,elumir
char_enso,Enso,Aiele,Aiele [Joel],,,,,no_whois_classification,no,no,0,0,yes,yes,enso
char_equinoxe,Equinoxe,Auriane,Auriane [Bob],,,,,no_whois_classification,no,no,0,0,yes,yes,equinoxe
char_erewiel,Erewiel,Irogla,Irogla,,,,,no_whois_classification,no,no,0,0,yes,yes,erewiel
char_erkzup,Erkzup,Temegl,Temegl,,,,,no_whois_classification,no,no,0,0,yes,yes,erkzup
char_faelandir,Faelandir,Tardeer,Tardeer [Silverberg],,,,,no_whois_classification,no,no,0,0,yes,yes,faelandir
char_fahil,Fahil,Vaab,Vaab [Joey],,,,,no_whois_classification,no,no,0,0,yes,yes,fahil
char_falathrim,Falathrim,Fankil,Fankil [Alexander],,,,,no_whois_classification,no,no,0,0,yes,yes,falathrim
char_falemir,Falemir,Simba,Simba,,,,,no_whois_classification,no,no,0,0,yes,yes,falemir
char_famas,Famas,Sabadon,Sabadon,,,,,no_whois_classification,no,no,0,0,yes,yes,famas
char_fardin,Fardin,Siroth,Siroth,,,,,no_whois_classification,no,no,0,0,yes,yes,fardin
char_feagil,Feagil,Feagil,Feagil,,,,,no_whois_classification,no,no,0,0,yes,yes,feagil
char_feagor,Feagor,Diamonium,Diamonium,,,,,no_whois_classification,no,no,0,0,yes,yes,feagor
char_feagwath,Feagwath,Atlas,Atlas,,,,,no_whois_classification,no,no,0,0,yes,yes,feagwath
char_feanor,Feanor,Feanor,Feanor,,,,,no_whois_classification,no,no,0,0,yes,yes,feanor
char_fearan,Fearan,Alkar,Alkar,,,,,no_whois_classification,no,no,0,0,yes,yes,fearan
char_fearendil,Fearendil,Fearendil,Fearendil [Dmitry],,,,,no_whois_classification,no,no,0,0,yes,yes,fearendil
char_fearsome,Fearsome,Echo,Echo,,,,,no_whois_classification,no,no,0,0,yes,yes,fearsome
char_filth,Filth,Burb,Burb,,,,,no_whois_classification,no,no,0,0,yes,yes,filth
char_fingeror,Fingeror,Fingeror,Fingeror [Jocke],,,,,no_whois_classification,no,no,0,0,yes,yes,fingeror
char_fiolas,Fiolas,Valamir,Valamir [Ole],,,,,no_whois_classification,no,no,0,0,yes,yes,fiolas
char_flanker,Flanker,Bounty,Bounty,,,,,no_whois_classification,no,no,0,0,yes,yes,flanker
char_floi,Floi,Ares,Ares,,,,,no_whois_classification,no,no,0,0,yes,yes,floi
char_foad,Foad,Delfi,Delfi [Per],,,,,no_whois_classification,no,no,0,0,yes,yes,foad
char_friso,Friso,Francis,Francis,,,,,no_whois_classification,no,no,0,0,yes,yes,friso
char_frukghash,Frukghash,Dragor,Dragor,,,,,no_whois_classification,no,no,0,0,yes,yes,frukghash
char_gabil,Gabil,Feagil,Feagil,,,,,no_whois_classification,no,no,0,0,yes,yes,gabil
char_gad,Gad,Cerleg,Cerleg [Alex],,,,,no_whois_classification,no,no,0,0,yes,yes,gad
char_gadmac,Gadmac,Axel,Axel [Axel],,,,,no_whois_classification,no,no,0,0,yes,yes,gadmac
char_galadon,Galadon,Amandil,Amandil,,,,,no_whois_classification,no,no,0,0,yes,yes,galadon
char_garkan,Garkan,Marillion,Marillion,,,,,no_whois_classification,no,no,0,0,yes,yes,garkan
char_gaylord,Gaylord,Squiffy,Squiffy,,,,,no_whois_classification,no,no,0,0,yes,yes,gaylord
char_geirrodr,Geirrodr,Idun,Idun,,,,,no_whois_classification,no,no,0,0,yes,yes,geirrodr
char_gelion,Gelion,Echo,Echo,,,,,no_whois_classification,no,no,0,0,yes,yes,gelion
char_gena,Gena,Gobakapp,Gobakapp,,,,,no_whois_classification,no,no,0,0,yes,yes,gena
char_ghourne,Ghourne,Deris,Deris,,,,,no_whois_classification,no,no,0,0,yes,yes,ghourne
char_gilmandir,Gilmandir,Tear,Tear,,,,,no_whois_classification,no,no,0,0,yes,yes,gilmandir
char_gilmas,Gilmas,David,David [David],,,,,no_whois_classification,no,no,0,0,yes,yes,gilmas
char_gilror,Gilror,Steele,Steele [Dan],,,,,no_whois_classification,no,no,0,0,yes,yes,gilror
char_gimilzor,Gimilzor,Beorel,Beorel,,,,,no_whois_classification,no,no,0,0,yes,yes,gimilzor
char_giralion,Giralion,Idun,Idun,,,,,no_whois_classification,no,no,0,0,yes,yes,giralion
char_glabthrak,Glabthrak,Sabadon,Sabadon,,,,,no_whois_classification,no,no,0,0,yes,yes,glabthrak
char_glabur,Glabur,Khozdul,Khozdul [Calle],,,,,no_whois_classification,no,no,0,0,yes,yes,glabur
char_glader,Glader,Beorel,Beorel,,,,,no_whois_classification,no,no,0,0,yes,yes,glader
char_glebus,Glebus,Fisben,Fisben [Gleb],,,,,no_whois_classification,no,no,0,0,yes,yes,glebus
char_gloha,Gloha,Gloha,Gloha,,,,,no_whois_classification,no,no,0,0,yes,yes,gloha
char_gobakapp,Gobakapp,Gobakapp,Gobakapp,,,,,no_whois_classification,no,no,0,0,yes,yes,gobakapp
char_gomen,Gomen,Naredhel,Naredhel,,,,,no_whois_classification,no,no,0,0,yes,yes,gomen
char_gondgurth,Gondgurth,Diamonium,Diamonium,,,,,no_whois_classification,no,no,0,0,yes,yes,gondgurth
char_grab,Grab,Alantir,Alantir,,,,,no_whois_classification,no,no,0,0,yes,yes,grab
char_grakk,Grakk,Dragor,Dragor,,,,,no_whois_classification,no,no,0,0,yes,yes,grakk
char_grang,Grang,Strine,Strine,,,,,no_whois_classification,no,no,0,0,yes,yes,grang
char_greoldreth,Greoldreth,Haazheel,Haazheel,,,,,no_whois_classification,no,no,0,0,yes,yes,greoldreth
char_grishnak_shag,Grishnak(Shag),Ghostly,Ghostly,,,,,no_whois_classification,no,no,0,0,yes,yes,grishnak-shag
char_grishtar,Grishtar,Heldo,Heldo [Jens],,,,,no_whois_classification,no,no,0,0,yes,yes,grishtar
char_grok,Grok,Steele,Steele [Dan],,,,,no_whois_classification,no,no,0,0,yes,yes,grok
char_gromk,Gromk,Bigger,Bigger [Jakob],,,,,no_whois_classification,no,no,0,0,yes,yes,gromk
char_grume,Grume,Gothmog,Gothmog [Petter],,,,,no_whois_classification,no,no,0,0,yes,yes,grume
char_gruuk,Gruuk,Alkar,Alkar,,,,,no_whois_classification,no,no,0,0,yes,yes,gruuk
char_gurgel,Gurgel,Marre,Marre [Martin],,,,,no_whois_classification,no,no,0,0,yes,yes,gurgel
char_guthol,Guthol,Simba,Simba,,,,,no_whois_classification,no,no,0,0,yes,yes,guthol
char_haazheel,Haazheel,Haazheel,Haazheel,,,,,no_whois_classification,no,no,0,0,yes,yes,haazheel
char_haisam,Haisam,Fisben,Fisben [Gleb],,,,,no_whois_classification,no,no,0,0,yes,yes,haisam
char_haista,Haista,Haista,Haista,,,,,no_whois_classification,no,no,0,0,yes,yes,haista
char_halas,Halas,Ainafea,Ainafea,,,,,no_whois_classification,no,no,0,0,yes,yes,halas
char_halir,Halir,Halir,Halir,,,,,no_whois_classification,no,no,0,0,yes,yes,halir
char_hamlas,Hamlas,Dragor,Dragor,,,,,no_whois_classification,no,no,0,0,yes,yes,hamlas
char_hasta,Hasta,Bigger,Bigger [Jakob],,,,,no_whois_classification,no,no,0,0,yes,yes,hasta
char_healy,Healy,Healy,Healy,,,,,no_whois_classification,no,no,0,0,yes,yes,healy
char_heather,Heather,Sabadon,Sabadon,,,,,no_whois_classification,no,no,0,0,yes,yes,heather
char_heldo,Heldo,Heldo,Heldo [Jens],,,,,no_whois_classification,no,no,0,0,yes,yes,heldo
char_henduil,Henduil,Sibur,Sibur [Maxim],,,,,no_whois_classification,no,no,0,0,yes,yes,henduil
char_herold,Herold,Chavez,Chavez,,,,,no_whois_classification,no,no,0,0,yes,yes,herold
char_holg,Holg,Moonshade,Moonshade [Alex],,,,,no_whois_classification,no,no,0,0,yes,yes,holg
char_horgy,Horgy,Dragor,Dragor,,,,,no_whois_classification,no,no,0,0,yes,yes,horgy
char_hrive,Hrive,Idun,Idun,,,,,no_whois_classification,no,no,0,0,yes,yes,hrive
char_hrolth,Hrolth,Steele,Steele [Dan],,,,,no_whois_classification,no,no,0,0,yes,yes,hrolth
char_hrothgar,Hrothgar,Ajax,Ajax,,,,,no_whois_classification,no,no,0,0,yes,yes,hrothgar
char_hukor,Hukor,Filibert,Filibert,,,,,no_whois_classification,no,no,0,0,yes,yes,hukor
char_hurar,Hurar,Wryak,Wryak [Tapio],,,,,no_whois_classification,no,no,0,0,yes,yes,hurar
char_hyung,Hyung,Saeth,Saeth [Wojtek],,,,,no_whois_classification,no,no,0,0,yes,yes,hyung
char_hyurk,Hyurk,Wryak,Wryak [Tapio],,,,,no_whois_classification,no,no,0,0,yes,yes,hyurk
char_iblis,Iblis,Quillis,Quillis,,,,,no_whois_classification,no,no,0,0,yes,yes,iblis
char_idun,Idun,Idun,Idun,,,,,no_whois_classification,no,no,0,0,yes,yes,idun
char_ieras,Ieras,Fankil,Fankil [Alexander],,,,,no_whois_classification,no,no,0,0,yes,yes,ieras
char_ilgamar,Ilgamar,Steele,Steele [Dan],,,,,no_whois_classification,no,no,0,0,yes,yes,ilgamar
char_iljrure,Iljrure,Nazgum,Nazgum,,,,,no_whois_classification,no,no,0,0,yes,yes,iljrure
