source_id,immortal_status,immortal_category,character_key,display_name,is_maiar_muddler,honorary_immortal,evidence_kind,source_order,review_status,notes
2026_06_16_retired_immortals,retired,Maiar,Ludwig,Ludwig,no,no,listed_retired_immortal,133,candidate,
2026_06_16_retired_immortals,retired,Maiar,Macabre,Macabre,no,no,listed_retired_immortal,134,candidate,
2026_06_16_retired_immortals,retired,Maiar,Manatark,Manatark,no,no,listed_retired_immortal,135,candidate,
2026_06_16_retired_immortals,retired,Maiar,Marathon,Marathon,no,no,listed_retired_immortal,136,candidate,
2026_06_16_retired_immortals,retired,Maiar,Merlyn,Merlyn,no,no,listed_retired_immortal,137,candidate,
2026_06_16_retired_immortals,retired,Maiar,Mezmeree,Mezmeree,no,no,listed_retired_immortal,138,candidate,
2026_06_16_retired_immortals,retired,Maiar,Mîm,Mîm,no,no,listed_retired_immortal,139,candidate,
2026_06_16_retired_immortals,retired,Maiar,Ministry,Ministry,no,no,listed_retired_immortal,140,candidate,
2026_06_16_retired_immortals,retired,Maiar,Miser,Miser,no,no,listed_retired_immortal,141,candidate,
2026_06_16_retired_immortals,retired,Maiar,Mocny,Mocny,no,no,listed_retired_immortal,142,candidate,
2026_06_16_retired_immortals,retired,Maiar,Mujahid,Mujahid,no,no,listed_retired_immortal,143,candidate,
2026_06_16_retired_immortals,retired,Maiar,Nugle,Nugle,no,no,listed_retired_immortal,144,candidate,
2026_06_16_retired_immortals,retired,Maiar,Olorin,Olorin,no,no,listed_retired_immortal,145,candidate,
2026_06_16_retired_immortals,retired,Maiar,Orion,Orion,no,no,listed_retired_immortal,146,candidate,
2026_06_16_retired_immortals,retired,Maiar,Orome,Orome,no,no,listed_retired_immortal,147,candidate,
2026_06_16_retired_immortals,retired,Maiar,Pallando,Pallando,no,no,listed_retired_immortal,148,candidate,
2026_06_16_retired_immortals,retired,Maiar,Paras,Paras,no,no,listed_retired_immortal,149,candidate,
2026_06_16_retired_immortals,retired,Maiar,Pikel,Pikel,no,no,listed_retired_immortal,150,candidate,
2026_06_16_retired_immortals,retired,Maiar,Qwerty,Qwerty,no,no,listed_retired_immortal,151,candidate,
2026_06_16_retired_immortals,retired,Maiar,Rik,Rik,no,no,listed_retired_immortal,152,candidate,
2026_06_16_retired_immortals,retired,Maiar,Rivas,Rivas,no,no,listed_retired_immortal,153,candidate,
2026_06_16_retired_immortals,retired,Maiar,Sadet,Sadet,no,no,listed_retired_immortal,154,candidate,
2026_06_16_retired_immortals,retired,Maiar,Securitate,Securitate,no,no,listed_retired_immortal,155,candidate,
2026_06_16_retired_immortals,retired,Maiar,Snow,Snow,no,no,listed_retired_immortal,156,candidate,
2026_06_16_retired_immortals,retired,Maiar,Stimpy,Stimpy,no,no,listed_retired_immortal,157,candidate,
2026_06_16_retired_immortals,retired,Maiar,Talia,Talia,no,no,listed_retired_immortal,158,candidate,
2026_06_16_retired_immortals,retired,Maiar,Teriláen,Teriláen,no,no,listed_retired_immortal,159,candidate,
2026_06_16_retired_immortals,retired,Maiar,Terwin,Terwin,no,no,listed_retired_immortal,160,candidate,
2026_06_16_retired_immortals,retired,Maiar,Thanatos,Thanatos,no,no,listed_retired_immortal,161,candidate,
2026_06_16_retired_immortals,retired,Maiar,Thran,Thran,no,no,listed_retired_immortal,162,candidate,
2026_06_16_retired_immortals,retired,Maiar,TranserGod,TranserGod,no,no,listed_retired_immortal,163,candidate,
2026_06_16_retired_immortals,retired,Maiar,Trexus,Trexus,no,no,listed_retired_immortal,164,candidate,
2026_06_16_retired_immortals,retired,Maiar,Turmere,Turmere,no,no,listed_retired_immortal,165,candidate,
2026_06_16_retired_immortals,retired,Maiar,Twibble,Twibble,no,no,listed_retired_immortal,166,candidate,
2026_06_16_retired_immortals,retired,Maiar,Ulmo,Ulmo,no,no,listed_retired_immortal,167,candidate,
2026_06_16_retired_immortals,retired,Maiar,Werligh,Werligh,no,no,listed_retired_immortal,168,candidate,
2026_06_16_retired_immortals,retired,Maiar,Wozak,Wozak,no,no,listed_retired_immortal,169,candidate,
2026_06_16_retired_immortals,retired,Maiar,Yoda,Yoda,no,no,listed_retired_immortal,170,candidate,
2026_06_16_retired_immortals,retired,Maiar,Yudh,Yudh,no,no,listed_retired_immortal,171,candidate,
2026_06_16_retired_immortals,retired,Maiar,Zemael,Zemael,no,no,listed_retired_immortal,172,candidate,
2026_06_16_retired_immortals,retired,Maiar,Zolt,Zolt,no,no,listed_retired_immortal,173,candidate,
2026_06_16_retired_immortals,retired,Maiar,Zun,Zun,no,no,listed_retired_immortal,174,candidate,
2026_06_16_retired_immortals,retired,Maiar,Bit,Bit,no,no,listed_retired_immortal,175,candidate,
2026_06_16_retired_immortals,retired,Maiar,Blimb,Blimb,no,no,listed_retired_immortal,176,candidate,
2026_06_16_retired_immortals,retired,Maiar,Burnus,Burnus,no,no,listed_retired_immortal,177,candidate,
2026_06_16_retired_immortals,retired,Maiar,Caesar,Caesar,no,no,listed_retired_immortal,178,candidate,
2026_06_16_retired_immortals,retired,Maiar,Cassanunda,Cassanunda,no,no,listed_retired_immortal,179,candidate,
2026_06_16_retired_immortals,retired,Maiar,Cookie,Cookie,no,no,listed_retired_immortal,180,candidate,
