link_id,player_id,character_id,character_name,main_handle,link_type,status,confidence,primary_evidence_id,notes
link_01403,player_0169,char_ukuvul,Ukuvul,Jadon,listed_same_player,accepted,medium,evidence_player_group_0169,
link_01404,player_0170,char_guido,Guido,Guido,listed_same_player,accepted,medium,evidence_player_group_0170,
link_01405,player_0170,char_juss,Juss,Guido,listed_same_player,accepted,medium,evidence_player_group_0170,
link_01406,player_0170,char_khuka,Khuka,Guido,listed_same_player,accepted,medium,evidence_player_group_0170,
link_01407,player_0170,char_olevipoeg,Olevipoeg,Guido,listed_same_player,accepted,medium,evidence_player_group_0170,
link_01408,player_0171,char_lurken,Lurken,Lurken,listed_same_player,accepted,medium,evidence_player_group_0171,
link_01409,player_0171,char_arla,Arla,Lurken,listed_same_player,accepted,medium,evidence_player_group_0171,
link_01410,player_0171,char_burst,Burst,Lurken,listed_same_player,accepted,medium,evidence_player_group_0171,
link_01411,player_0172,char_agattax,Agattax,Agattax,listed_same_player,accepted,medium,evidence_player_group_0172,
link_01412,player_0172,char_asanda,Asanda,Agattax,listed_same_player,accepted,medium,evidence_player_group_0172,
link_01413,player_0172,char_bramba,Bramba,Agattax,listed_same_player,accepted,medium,evidence_player_group_0172,
link_01414,player_0172,char_elenril,Elenril,Agattax,listed_same_player,accepted,medium,evidence_player_group_0172,
link_01415,player_0173,char_durcano,Durcano,Durcano,listed_same_player,accepted,medium,evidence_player_group_0173,
link_01416,player_0173,char_kobold,Kobold,Durcano,listed_same_player,accepted,medium,evidence_player_group_0173,
link_01417,player_0173,char_nomad,Nomad,Durcano,listed_same_player,accepted,medium,evidence_player_group_0173,
link_01418,player_0173,char_kocano,Kocano,Durcano,listed_same_player,accepted,medium,evidence_player_group_0173,
link_01419,player_0174,char_angrenfea,Angrenfea,Angrenfea,listed_same_player,accepted,medium,evidence_player_group_0174,
link_01420,player_0174,char_borgash,Borgash,Angrenfea,listed_same_player,accepted,medium,evidence_player_group_0174,
link_01421,player_0174,char_ernst,Ernst,Angrenfea,listed_same_player,accepted,medium,evidence_player_group_0174,
link_01422,player_0174,char_khadum,Khadum,Angrenfea,listed_same_player,accepted,medium,evidence_player_group_0174,
link_01423,player_0174,char_plancy,Plancy,Angrenfea,listed_same_player,accepted,medium,evidence_player_group_0174,
link_01424,player_0174,char_potgins,Potgins,Angrenfea,listed_same_player,accepted,medium,evidence_player_group_0174,
link_01425,player_0174,char_tharain,Tharain,Angrenfea,listed_same_player,accepted,medium,evidence_player_group_0174,
link_01426,player_0175,char_vaab,Vaab,Vaab,listed_same_player,accepted,medium,evidence_player_group_0175,
link_01427,player_0175,char_celt,Celt,Vaab,listed_same_player,accepted,medium,evidence_player_group_0175,
link_01428,player_0175,char_fahil,Fahil,Vaab,listed_same_player,accepted,medium,evidence_player_group_0175,
link_01429,player_0175,char_unoc,Unoc,Vaab,listed_same_player,accepted,medium,evidence_player_group_0175,
link_01430,player_0175,char_berlal,Berlal,Vaab,listed_same_player,accepted,medium,evidence_player_group_0175,
link_01431,player_0175,char_nogon,Nogon,Vaab,listed_same_player,accepted,medium,evidence_player_group_0175,
link_01432,player_0175,char_arnoc,Arnoc,Vaab,listed_same_player,accepted,medium,evidence_player_group_0175,
link_01433,player_0176,char_beltira,Beltira,Beltira,listed_same_player,accepted,medium,evidence_player_group_0176,
